token, capital, lapse, all_trades, prof_trades, success rate 
SOL-USD, 164.35, 76.54, 25, 18, 72.00
ZRX-USD, 0.00, 728.11, 33035, 16748, 50.70
FIL-USD, 78.01, 266.50, 61, 33, 54.10
FET-USD, 174.11, 36.54, 34, 18, 52.94
DASH-USD, 0.00, 715.53, 33378, 16697, 50.02
BAL-USD, 59.97, 330.54, 121, 71, 58.68
MASK-USD, 88.16, 48.35, 12, 7, 58.33
CHZ-USD, 102.23, 76.54, 17, 9, 52.94
UNI-USD, 0.00, 349.42, 15870, 7929, 49.96
WBTC-USD, 94.94, 316.54, 77, 46, 59.74
LTC-USD, 28.06, 728.11, 201, 134, 66.67
STORJ-USD, 66.73, 160.54, 58, 33, 56.90
WLUNA-USD, 117.51, 20.42, 6, 4, 66.67
BNT-USD, 55.63, 260.50, 74, 36, 48.65
DOT-USD, 119.37, 77.54, 49, 37, 75.51
NKN-USD, 44.83, 145.54, 44, 23, 52.27
PLA-USD, 0.24, 28.53, 1193, 570, 47.78
BTC-USD, 36.02, 728.11, 217, 140, 64.52
EOS-USD, 24.91, 728.11, 199, 123, 61.81
AXS-USD, 4.45, 20.42, 648, 334, 51.54
COMP-USD, 0.00, 435.52, 20661, 10496, 50.80
REN-USD, 55.10, 330.54, 103, 62, 60.19
XTZ-USD, 0.00, 728.10, 34887, 17463, 50.06
MANA-USD, 40.39, 134.54, 35, 20, 57.14
LPT-USD, 85.37, 69.54, 24, 13, 54.17
MIR-USD, 0.00, 118.53, 5665, 2669, 47.11
ORN-USD, 8.25, 20.54, 529, 255, 48.20
AMP-USD, 133.81, 83.55, 19, 12, 63.16
AAVE-USD, 250.90, 260.51, 97, 63, 64.95
CTSI-USD, 40.23, 118.55, 33, 14, 42.42
TRU-USD, 104.85, 20.43, 7, 3, 42.86
KNC-USD, 0.00, 554.51, 24292, 12232, 50.35
IOTX-USD, 85.35, 20.55, 3, 2, 66.67
GTC-USD, 59.19, 83.54, 26, 15, 57.69
ZEC-USD, 69.64, 267.50, 85, 51, 60.00
ADA-USD, 80.42, 167.55, 49, 29, 59.18
NU-USD, 0.00, 273.51, 11576, 5695, 49.20
OXT-USD, 0.00, 625.58, 27221, 13009, 47.79
TRB-USD, 0.12, 118.55, 1227, 632, 51.51
NMR-USD, 0.00, 379.55, 17738, 8568, 48.30
DAI-USD, 79.15, 489.53, 63, 47, 74.60
ANKR-USD, 82.76, 160.55, 49, 28, 57.14
SNX-USD, 0.00, 260.51, 11711, 5992, 51.17
ETC-USD, 49.81, 728.11, 191, 126, 65.97
MKR-USD, 0.00, 449.55, 21359, 10896, 51.01
USDT-USD, 96.79, 121.17, 7, 5, 71.43
REP-USD, 120.92, 728.11, 214, 130, 60.75
ETH-USD, 47.26, 728.11, 215, 142, 66.05
OGN-USD, 33.17, 145.55, 41, 20, 48.78
KEEP-USD, 48.72, 76.30, 18, 11, 61.11
UST-USD, 99.50, 20.55, 1, 0, 0.00
POLY-USD, 120.47, 36.45, 6, 6, 100.00
RLC-USD, 0.00, 118.55, 3953, 1947, 49.25
REQ-USD, 117.93, 20.43, 6, 3, 50.00
ATOM-USD, 0.00, 596.46, 28569, 14114, 49.40
SUSHI-USD, 0.00, 174.50, 8182, 4086, 49.94
XLM-USD, 37.17, 728.11, 233, 152, 65.24
BAND-USD, 47.99, 386.55, 123, 70, 56.91
COTI-USD, 92.68, 6.29, 3, 2, 66.67
RAI-USD, 93.17, 29.54, 1, 0, 0.00
RLY-USD, 0.00, 48.36, 2213, 1109, 50.11
OMG-USD, 0.00, 470.55, 22434, 11283, 50.29
MATIC-USD, 115.60, 174.51, 41, 22, 53.66
DOGE-USD, 78.70, 90.55, 25, 11, 44.00
BOND-USD, 82.34, 69.55, 22, 14, 63.64
BAT-USD, 82.25, 134.54, 49, 30, 61.22
FARM-USD, 195.84, 34.47, 9, 6, 66.67
TRIBE-USD, 1.50, 20.55, 825, 372, 45.09
1INCH-USD, 88.38, 145.55, 46, 29, 63.04
CRV-USD, 0.00, 160.55, 7663, 3823, 49.89
BCH-USD, 19.94, 728.11, 211, 119, 56.40
CGLD-USD, 0.00, 365.55, 17521, 8388, 47.87
QNT-USD, 114.77, 69.53, 18, 13, 72.22
ICP-USD, 49.52, 114.51, 31, 21, 67.74
LINK-USD, 0.00, 728.10, 34230, 17122, 50.02
PAX-USD, 99.50, 36.44, 1, 0, 0.00
SKL-USD, 0.00, 174.52, 7672, 3719, 48.47
ENJ-USD, 45.65, 145.56, 38, 20, 52.63
FORTH-USD, 0.00, 133.46, 4055, 1906, 47.00
ALGO-USD, 0.00, 728.07, 32262, 15901, 49.29
MLN-USD, 190.55, 83.56, 19, 12, 63.16
UMA-USD, 0.00, 358.55, 17154, 8528, 49.71
LRC-USD, 61.63, 351.56, 111, 68, 61.26
QUICK-USD, 104.32, 20.55, 13, 7, 53.85
GRT-USD, 51.79, 258.49, 67, 41, 61.19
CLV-USD, 0.00, 48.30, 2060, 664, 32.23
YFI-USD, 0.00, 351.56, 15841, 7960, 50.25
ACH-USD, 148.88, 29.56, 214, 116, 54.21
